timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
MSG	2017-10-21 21:58:23.860	1060782920	image_on
MSG	2017-10-21 21:58:23.860	1060782920	bikinishop.jpg
MSG	2017-10-21 21:58:23.860	1060782920	start_recording
2017-10-21 21:58:24.982	1060784086	False	7	672.5201	412.9068	640.7292	418.7746	15.4167	665.1376	428.6586	614.6632	440.0381	15.3341	0.4648	0.4972	679.9026	397.1549	684.4106	383.1412	15.4993	0.6012	0.5106
2017-10-21 21:58:25.015	1060784119	False	7	666.8729	435.8781	641.6718	422.4281	15.38555	666.458	449.6181	623.8854	441.5758	15.2415	0.4648	0.4972	667.2879	422.1381	678.6711	396.2192	15.5296	0.6012	0.5107
2017-10-21 21:58:25.049	1060784153	False	7	666.5535	416.4313	652.0272	416.1792	15.5549	678.3904	407.0845	678.3904	407.0845	15.4324	0.4648	0.4971	654.7165	425.778	672.6016	403.7423	15.6774	0.6012	0.5107
2017-10-21 21:58:25.082	1060784186	False	7	666.0087	421.224	655.0911	415.5616	15.7429	654.5458	419.9262	654.5458	419.9262	15.1033	0.4646	0.4972	677.4714	422.5218	673.5319	407.6544	16.3825	0.6012	0.5107
2017-10-21 21:58:25.115	1060784219	False	7	650.425	425.6355	651.7806	418.4888	16.1833	622.5729	440.1879	638.539	430.07	15.649	0.4644	0.4973	678.2772	411.0831	678.2772	411.0831	16.7176	0.6011	0.5107
2017-10-21 21:58:25.149	1060784253	True	7	669.335	443.5025	653.6069	422.3173	16.14075	662.6682	439.5874	646.5891	433.2732	15.507	0.4643	0.4974	676.0016	447.4176	676.0016	447.4176	16.7745	0.6009	0.511
2017-10-21 21:58:25.182	1060784286	True	7	688.267	486.0089	657.6907	426.3773	16.13705	690.4119	520.4551	657.6533	455.2881	15.9333	0.4643	0.4978	686.1222	451.5627	681.0684	449.4928	16.3408	0.6009	0.511
2017-10-21 21:58:25.215	1060784319	True	7	662.1237	457.1654	658.7917	430.063	15.87635	649.6025	478.4696	656.0939	460.1486	15.3968	0.4643	0.4976	674.645	435.8612	678.9267	444.9331	16.3559	0.6008	0.511
2017-10-21 21:58:25.249	1060784353	True	7	681.5175	438.6178	658.8061	433.929	15.8941	668.0858	468.6533	658.1882	461.7654	15.6709	0.4643	0.4975	694.9492	408.5823	682.9664	435.7495	16.1173	0.6009	0.5108
2017-10-21 21:58:25.282	1060784386	True	7	702.8186	454.0333	660.9914	435.2633	16.1033	725.7568	460.3572	668.2246	461.7139	15.6186	0.4646	0.4975	679.8804	447.7093	682.3628	438.1107	16.588	0.6009	0.511
2017-10-21 21:58:25.315	1060784419	True	7	692.3428	468.9671	662.5583	437.497	15.9185	690.9158	455.0885	671.373	460.9804	15.3754	0.4646	0.4975	693.7697	482.8456	684.3223	445.7057	16.4616	0.601	0.511
2017-10-21 21:58:25.349	1060784453	True	7	703.4658	381.1594	664.7476	438.2059	16.07425	719.1722	336.6937	719.1722	336.6937	15.5582	0.4647	0.4969	687.7595	425.625	684.8621	442.794	16.5903	0.601	0.5107
2017-10-21 21:58:25.382	1060784486	True	7	670.386	410.6167	664.3545	438.0044	16.2481	648.1384	432.6172	648.1384	432.6172	15.6482	0.4646	0.4973	692.6337	388.6162	685.9117	435.7262	16.848	0.6011	0.5105
2017-10-21 21:58:25.415	1060784519	True	7	658.1986	414.6846	663.988	436.9123	15.51955	668.2756	412.444	658.2198	422.5177	15.5693	0.4647	0.4972	648.1215	416.9251	681.5155	433.4135	15.4698	0.601	0.5107
2017-10-21 21:58:25.448	1060784552	True	7	685.9902	405.358	665.1116	436.0211	15.73605	704.1667	406.6647	673.6177	417.1938	15.6243	0.4649	0.4972	667.8138	404.0514	680.0077	430.1322	15.8478	0.6012	0.5106
2017-10-21 21:58:25.482	1060784586	True	7	764.831	417.5928	668.1433	434.8511	15.7171	793.0888	425.7551	703.8234	419.3203	15.987	0.4657	0.4974	736.5732	409.4304	685.5467	427.9007	15.4472	0.602	0.5108
2017-10-21 21:58:25.515	1060784619	True	7	804.1412	455.5955	672.4429	433.9438	16.10975	806.0263	431.8361	724.8163	421.8488	15.8259	0.4662	0.4974	802.2562	479.3548	802.2562	479.3548	16.3936	0.6025	0.5113
2017-10-21 21:58:25.548	1060784652	True	7	806.8806	438.276	679.2331	434.0688	15.9957	835.8565	433.2704	744.1282	423.8077	15.4582	0.4664	0.4975	777.9048	443.2816	777.9048	443.2816	16.5332	0.6025	0.511
2017-10-21 21:58:25.582	1060784686	False	7	815.2454	475.8958	791.1931	450.9067	16.13145	826.0434	493.2792	756.738	434.0921	15.9541	0.4663	0.4977	804.4474	458.5125	791.1931	450.9067	16.3088	0.6027	0.511
2017-10-21 21:58:25.615	1060784719	False	7	820.0458	480.4094	798.7731	465.6776	16.17065	826.322	465.8257	826.322	465.8257	15.9781	0.4663	0.4976	813.7695	494.9931	798.7731	465.6776	16.3632	0.6027	0.5113
2017-10-21 21:58:25.648	1060784752	False	7	806.0335	427.0064	808.0223	465.3007	16.01035	827.0854	474.2925	827.0854	474.2925	15.7351	0.4663	0.4977	784.9816	379.7203	795.34	444.0622	16.2856	0.6026	0.5107
2017-10-21 21:58:25.682	1060784786	False	7	821.5739	429.0925	809.476	460.0676	15.92365	820.2094	451.5864	823.6431	462.9249	15.8807	0.4663	0.4975	822.9383	406.5987	800.959	436.3754	15.9666	0.6028	0.5109
2017-10-21 21:58:25.715	1060784819	False	7	815.8953	452.9416	810.1456	457.4607	16.26055	818.0805	466.5375	821.7751	464.115	16.1085	0.4663	0.4976	813.7101	439.3456	803.1931	436.752	16.4126	0.6027	0.511
2017-10-21 21:58:25.748	1060784852	False	7	832.4156	439.5769	810.657	454.5613	15.97775	835.9059	440.301	825.328	458.0986	15.3868	0.4664	0.4975	828.9254	438.8528	807.0646	436.9568	16.5687	0.6028	0.511
2017-10-21 21:58:25.781	1060784885	True	7	825.8693	443.7148	811.7813	453.3961	16.12705	806.8762	466.5423	821.5937	459.7691	15.3475	0.4663	0.4976	844.8623	420.8872	812.1137	434.7715	16.9066	0.6029	0.511
2017-10-21 21:58:25.815	1060784919	True	7	842.0717	430.5781	813.0565	452.0064	16.457	850.0328	468.9789	826.4235	461.318	15.561	0.4665	0.4976	834.1105	392.1774	814.8748	429.6566	17.353	0.6028	0.511
2017-10-21 21:58:25.848	1060784952	True	7	859.9191	456.7661	814.6181	453.5522	15.9963	814.5727	481.7914	824.7086	464.3383	15.5256	0.4665	0.4977	905.2656	431.7407	824.7745	429.6964	16.467	0.6031	0.5112
2017-10-21 21:58:25.882	1060784986	True	7	831.8144	460.5347	816.0163	452.1976	16.5065	820.5485	503.74	824.1723	469.5223	15.7573	0.4665	0.4978	843.0803	417.3293	826.9617	428.3113	17.2557	0.6029	0.5112
2017-10-21 21:58:25.915	1060785019	True	7	847.0974	472.0152	817.3912	449.872	16.28055	858.7215	484.7924	828.2313	471.431	15.3383	0.4665	0.4977	835.4732	459.238	828.1264	430.9964	17.2228	0.6028	0.5115
2017-10-21 21:58:25.948	1060785052	True	7	831.9779	490.3607	818.6116	450.0917	16.47465	827.6575	502.5663	828.2395	474.9055	15.8492	0.4664	0.4978	836.2984	478.155	829.1982	435.0051	17.1001	0.6028	0.5115
2017-10-21 21:58:25.981	1060785085	True	7	843.1901	458.6562	819.7277	448.4243	16.48205	857.5549	509.0562	831.2053	478.4757	15.4063	0.4664	0.4978	828.8254	408.2561	829.5154	432.8415	17.5578	0.6028	0.5112
2017-10-21 21:58:26.015	1060785119	True	7	820.7196	471.3383	820.7217	449.006	16.67385	827.2038	494.0063	830.9561	480.1545	15.8786	0.4664	0.4977	814.2354	448.6703	828.6343	434.0539	17.4691	0.6028	0.5114
2017-10-21 21:58:26.048	1060785152	True	7	854.3071	440.4107	821.7778	449.5046	16.38165	851.9318	480.1898	832.8777	480.4155	15.7777	0.4666	0.4978	856.6824	400.6317	830.9849	431.5652	16.9856	0.6029	0.5111
2017-10-21 21:58:26.081	1060785185	True	7	818.5289	448.1951	822.6539	449.671	16.5493	808.5924	477.5056	831.0226	480.4118	16.2702	0.4665	0.4978	828.4653	418.8846	831.093	430.5887	16.8284	0.603	0.5113
2017-10-21 21:58:26.115	1060785219	True	7	811.0479	474.5267	823.4529	448.2	16.78495	793.2028	517.1528	828.1348	483.4947	16.6719	0.4665	0.498	828.8929	431.9006	831.1954	430.5939	16.898	0.603	0.5114
2017-10-21 21:58:26.148	1060785252	True	7	834.7363	486.7494	824.1362	448.1418	17.01015	838.6888	526.7724	828.9008	487.0138	16.9206	0.4667	0.498	830.7839	446.7264	831.3915	431.6102	17.0997	0.603	0.5115
2017-10-21 21:58:26.181	1060785285	True	7	807.6901	488.5511	824.7536	446.9019	16.78835	799.5522	548.0093	826.7827	491.7703	16.5593	0.4665	0.498	815.8279	429.0929	830.5647	431.4165	17.0174	0.603	0.5114
2017-10-21 21:58:26.214	1060785318	True	7	783.8022	505.6492	825.1233	445.8981	16.79165	783.7125	544.4297	823.7043	495.9194	16.5465	0.4665	0.498	783.8921	466.8688	827.6968	433.6686	17.0368	0.6029	0.5116
2017-10-21 21:58:26.248	1060785352	True	7	827.9634	494.4301	825.3013	447.58	16.76905	827.9794	505.4534	823.8136	497.1367	16.6438	0.4668	0.4978	827.9474	483.4068	827.7089	436.8708	16.8943	0.6032	0.5117
